,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
4647,Deportivo Toluca,Defender Right-Back,173.0,32.0,57,0.044620724,0.133862172,0.066931086,0.0,0.0,0.0,0.0,4034,0,0,3,1500000,1800000
4648,Deportivo Toluca,midfield-DefensiveMidfield,171.0,29.0,71,0.0,0.061994145,0.340967797,0.015498536,0.015498536,0.0,0.0,5807,46,6,6,5500000,5500000
4649,Deportivo Toluca,midfield-DefensiveMidfield,177.0,28.0,68,0.017821782,0.0,0.24950495,0.0,0.0,0.0,0.0,5050,0,0,0,700000,700000
4650,Deportivo Toluca,midfield-CentralMidfield,182.0,22.0,67,0.130895491,0.056098068,0.243091627,0.0,0.018699356,0.0,0.0,4813,0,0,0,5000000,5000000
4651,Deportivo Toluca,midfield-CentralMidfield,165.0,34.0,67,0.059191056,0.355146333,0.147977639,0.0,0.029595528,0.0,0.0,3041,181,20,6,1200000,2000000
4653,Deportivo Toluca,midfield-AttackingMidfield,166.0,24.0,66,0.387145749,0.432692308,0.227732794,0.0,0.0,0.0,0.0,3952,67,8,2,8000000,8000000
4654,Deportivo Toluca,Attack-LeftWinger,176.0,23.0,75,0.172248804,0.14354067,0.129186603,0.014354067,0.0,0.0,0.0,6270,59,10,0,7000000,7000000
4655,Deportivo Toluca,Attack-LeftWinger,163.0,30.0,82,0.167626143,0.198103623,0.152387403,0.01523874,0.01523874,0.0,0.0,5906,0,0,2,5000000,5000000
4656,Deportivo Toluca,Attack-LeftWinger,173.0,26.0,57,0.210362291,0.140241527,0.105181145,0.035060382,0.035060382,0.0,0.0,2567,0,0,3,600000,1000000
4657,Deportivo Toluca,Attack Centre-Forward,183.0,30.0,78,0.35976016,0.17988008,0.039973351,0.0,0.0,0.0,0.0,4503,7,1,1,3000000,5000000
4658,Deportivo Toluca,Attack Centre-Forward,170.0,34.0,68,0.5873628,0.133491546,0.213586473,0.0,0.026698309,0.0,0.0,3371,171,30,5,1200000,3000000
4661,Tigres UANL,Goalkeeper,193.0,37.0,91,0.0,0.0,0.132110092,0.011009174,0.0,0.946788991,0.418348624,8175,0,0,10,1000000,3000000
4662,Tigres UANL,Goalkeeper,193.0,28.0,29,0.103448276,0.0,0.068965517,0.0,0.0,1.0,0.310344828,2610,0,0,5,200000,200000
4663,Tigres UANL,Defender Centre-Back,185.0,28.0,69,0.031174229,0.046761344,0.249393834,0.031174229,0.0,0.0,0.0,5774,410,42,1,7000000,7000000
4664,Tigres UANL,Defender Centre-Back,188.0,29.0,68,0.017045455,0.017045455,0.306818182,0.017045455,0.017045455,0.0,0.0,5280,42,10,9,3500000,3500000
4665,Tigres UANL,Defender Centre-Back,191.0,30.0,63,0.035870865,0.0,0.197289757,0.0,0.0,0.0,0.0,5018,345,32,7,2200000,7000000
4667,Tigres UANL,Defender Left-Back,179.0,25.0,86,0.024681201,0.061703003,0.160427807,0.0,0.012340601,0.0,0.0,7293,95,12,3,7000000,7000000
4668,Tigres UANL,Defender Right-Back,180.0,24.0,40,0.059721301,0.02986065,0.298606503,0.0,0.0,0.0,0.0,3014,61,10,1,2000000,2500000
4669,Tigres UANL,Defender Right-Back,167.0,22.0,65,0.093921211,0.023480303,0.281763632,0.0,0.0,0.0,0.0,3833,0,0,2,1500000,1500000
4670,Tigres UANL,midfield-DefensiveMidfield,185.0,33.0,81,0.065151296,0.026060518,0.15636311,0.013030259,0.013030259,0.0,0.0,6907,7,2,9,2000000,15000000
4671,Tigres UANL,midfield-CentralMidfield,168.0,28.0,80,0.18705036,0.158273381,0.244604317,0.0,0.0,0.0,0.0,6255,107,19,2,9000000,9000000
4672,Tigres UANL,midfield-CentralMidfield,181.2403529,33.0,88,0.0,0.072533849,0.145067698,0.01450677,0.0,0.0,0.0,6204,35,7,7,1800000,6000000
4673,Tigres UANL,midfield-CentralMidfield,168.0,31.0,85,0.24171889,0.080572963,0.141002686,0.0,0.020143241,0.0,0.0,4468,0,0,1,1500000,3000000
4675,Tigres UANL,midfield-AttackingMidfield,173.0,25.0,73,0.353430353,0.145530146,0.145530146,0.020790021,0.020790021,0.0,0.0,4329,0,0,4,4500000,7000000
4677,Tigres UANL,Attack-LeftWinger,165.0,33.0,80,0.0,0.108270677,0.14887218,0.0,0.027067669,0.0,0.0,6650,62,11,11,2000000,5000000
4679,Tigres UANL,Attack-RightWinger,178.0,31.0,82,0.18455229,0.276828435,0.322966507,0.046138072,0.015379357,0.0,0.0,5852,0,0,5,2500000,4500000
4680,Tigres UANL,Attack Centre-Forward,178.0,28.0,86,0.570917372,0.043916721,0.14638907,0.0,0.0,0.0,0.0,6148,0,0,3,7500000,7500000
